Rechnung Nr;Rechnung Datum;Auftrag Datum;Kunde;Total ohne MwSt;MwSt 8.1%;Endtotal;Status
INV-2025-10001;2025-01-07;2025-01-05;Meier GmbH;3065.98;3314.32;6380.3;offen
INV-2025-10002;2025-01-09;2025-01-07;Keller AG;214.79;232.19;446.98;bezahlt
INV-2025-10003;2025-01-18;2025-01-16;coop AG;4581.25;4952.33;9533.58;überfällig
INV-2025-10004;2025-01-25;2025-01-23;City Kiosk Bern;1311.13;1417.33;2728.46;überfällig
INV-2025-10005;2025-01-13;2025-01-11;Huber GmbH;2548.06;2754.45;5302.51;überfällig
INV-2025-10006;2025-01-07;2025-01-05;Müller AG;2777.1;3002.05;5779.15;bezahlt
INV-2025-10007;2025-02-01;2025-01-30;Huber GmbH;1306.57;1412.4;2718.97;bezahlt
INV-2025-10008;2025-01-18;2025-01-16;Huber GmbH;1939.18;2096.25;4035.43;offen
INV-2025-10009;2025-01-26;2025-01-24;Müller AG;2261.26;2444.42;4705.68;bezahlt
INV-2025-10010;2025-01-26;2025-01-24;Müller AG;2785.9;3011.56;5797.46;bezahlt
INV-2025-10011;2025-01-07;2025-01-05;Schmid AG;3576.42;3866.11;7442.53;überfällig
INV-2025-10012;2025-01-30;2025-01-28;Migros AG;1840.69;1989.79;3830.48;bezahlt
INV-2025-10013;2025-01-13;2025-01-11;Keller AG;129.41;139.89;269.3;offen
INV-2025-10014;2025-01-10;2025-01-08;Migros AG;132.38;143.1;275.48;überfällig
INV-2025-10015;2025-01-09;2025-01-07;Müller AG;1805.59;1951.84;3757.43;bezahlt
INV-2025-10016;2025-01-02;2024-12-31;Keller AG;3323.13;3592.3;6915.43;überfällig
INV-2025-10017;2025-01-13;2025-01-11;coop AG;1931.14;2087.56;4018.7;offen
INV-2025-10018;2025-02-01;2025-01-30;Schmid AG;324.21;350.47;674.68;bezahlt
INV-2025-10019;2025-01-11;2025-01-09;Weber AG;2531.53;2736.58;5268.11;überfällig
INV-2025-10020;2025-01-26;2025-01-24;Huber GmbH;341.26;368.9;710.16;offen
INV-2025-10021;2025-01-07;2025-01-05;City Kiosk Bern;2190.14;2367.54;4557.68;bezahlt
INV-2025-10022;2025-01-11;2025-01-09;coop AG;3432.72;3710.77;7143.49;überfällig
INV-2025-10023;2025-01-27;2025-01-25;Payfix GmbH,Wallee AG;990.84;1071.1;2061.94;überfällig
INV-2025-10024;2025-01-21;2025-01-19;Schmid AG;1242.88;1343.55;2586.43;überfällig
INV-2025-10025;2025-01-25;2025-01-23;Müller AG;4720.38;5102.73;9823.11;überfällig
INV-2025-10026;2025-01-08;2025-01-06;Payfix GmbH,Wallee AG;1255.74;1357.45;2613.19;offen
INV-2025-10027;2025-01-26;2025-01-24;Weber AG;3233.39;3495.29;6728.68;offen
INV-2025-10028;2025-01-16;2025-01-14;Migros AG;1478.91;1598.7;3077.61;überfällig
INV-2025-10029;2025-01-21;2025-01-19;Keller AG;3533.4;3819.61;7353.01;bezahlt
INV-2025-10030;2025-01-08;2025-01-06;City Kiosk Bern;629.11;680.07;1309.18;offen
INV-2025-10031;2025-01-03;2025-01-01;Müller AG;4329.57;4680.27;9009.84;offen
INV-2025-10032;2025-01-22;2025-01-20;Weber AG;1057.81;1143.49;2201.3;offen
INV-2025-10033;2025-01-07;2025-01-05;Weber AG;4366.55;4720.24;9086.79;offen
INV-2025-10034;2025-01-17;2025-01-15;Schmid AG;839.02;906.98;1746.0;überfällig
INV-2025-10035;2025-02-01;2025-01-30;City Kiosk Bern;687.58;743.27;1430.85;bezahlt
INV-2025-10036;2025-01-11;2025-01-09;Huber GmbH;2312.01;2499.28;4811.29;bezahlt
INV-2025-10037;2025-02-01;2025-01-30;coop AG;1857.06;2007.48;3864.54;offen
INV-2025-10038;2025-01-05;2025-01-03;coop AG;3337.91;3608.28;6946.19;offen
INV-2025-10039;2025-01-24;2025-01-22;Keller AG;2505.28;2708.21;5213.49;offen
INV-2025-10040;2025-01-03;2025-01-01;Payfix GmbH,Wallee AG;723.93;782.57;1506.5;offen
INV-2025-10041;2025-01-19;2025-01-17;Schmid AG;2526.3;2730.93;5257.23;bezahlt
INV-2025-10042;2025-01-23;2025-01-21;Weber AG;4889.24;5285.27;10174.51;offen
INV-2025-10043;2025-01-04;2025-01-02;Keller AG;3642.75;3937.81;7580.56;überfällig
INV-2025-10044;2025-01-16;2025-01-14;Weber AG;2701.04;2919.82;5620.86;überfällig
INV-2025-10045;2025-01-11;2025-01-09;Meier GmbH;4777.46;5164.43;9941.89;offen
INV-2025-10046;2025-01-10;2025-01-08;Keller AG;4528.16;4894.94;9423.1;überfällig
INV-2025-10047;2025-01-25;2025-01-23;Payfix GmbH,Wallee AG;4735.71;5119.3;9855.01;bezahlt
INV-2025-10048;2025-01-28;2025-01-26;Meier GmbH;1264.39;1366.81;2631.2;offen
INV-2025-10049;2025-01-10;2025-01-08;Müller AG;2349.99;2540.34;4890.33;bezahlt
INV-2025-10050;2025-01-24;2025-01-22;Weber AG;4650.13;5026.79;9676.92;überfällig
INV-2025-10051;2025-01-15;2025-01-13;Weber AG;2292.58;2478.28;4770.86;bezahlt
INV-2025-10052;2025-01-08;2025-01-06;coop AG;2910.57;3146.33;6056.9;bezahlt
INV-2025-10053;2025-01-24;2025-01-22;Weber AG;2078.36;2246.71;4325.07;offen
INV-2025-10054;2025-01-08;2025-01-06;Müller AG;3406.92;3682.88;7089.8;bezahlt
INV-2025-10055;2025-01-11;2025-01-09;Huber GmbH;1095.4;1184.13;2279.53;überfällig
INV-2025-10056;2025-01-11;2025-01-09;Meier GmbH;3963.42;4284.46;8247.88;überfällig
INV-2025-10057;2025-01-15;2025-01-13;Meier GmbH;3380.93;3654.79;7035.72;bezahlt
INV-2025-10058;2025-01-27;2025-01-25;Huber GmbH;1680.1;1816.19;3496.29;überfällig
INV-2025-10059;2025-01-26;2025-01-24;Weber AG;3430.67;3708.55;7139.22;offen
INV-2025-10060;2025-01-17;2025-01-15;coop AG;3221.15;3482.06;6703.21;bezahlt
INV-2025-10061;2025-01-07;2025-01-05;Meier GmbH;3804.51;4112.68;7917.19;überfällig
INV-2025-10062;2025-01-12;2025-01-10;Meier GmbH;4208.53;4549.42;8757.95;offen
INV-2025-10063;2025-01-18;2025-01-16;Payfix GmbH,Wallee AG;4680.35;5059.46;9739.81;bezahlt
INV-2025-10064;2025-01-08;2025-01-06;Keller AG;4652.87;5029.75;9682.62;bezahlt
INV-2025-10065;2025-01-03;2025-01-01;Weber AG;1586.19;1714.67;3300.86;offen
INV-2025-10066;2025-01-17;2025-01-15;Schmid AG;2496.61;2698.84;5195.45;bezahlt
INV-2025-10067;2025-01-21;2025-01-19;Huber GmbH;1863.61;2014.56;3878.17;offen
INV-2025-10068;2025-02-01;2025-01-30;Meier GmbH;1764.88;1907.84;3672.72;offen
INV-2025-10069;2025-01-24;2025-01-22;Huber GmbH;4839.1;5231.07;10070.17;bezahlt
INV-2025-10070;2025-01-11;2025-01-09;Weber AG;3292.59;3559.29;6851.88;überfällig
INV-2025-10071;2025-01-10;2025-01-08;Meier GmbH;1471.33;1590.51;3061.84;überfällig
INV-2025-10072;2025-01-26;2025-01-24;Schmid AG;134.59;145.49;280.08;offen
INV-2025-10073;2025-01-04;2025-01-02;Müller AG;621.76;672.12;1293.88;überfällig
INV-2025-10074;2025-01-18;2025-01-16;Schmid AG;4263.43;4608.77;8872.2;bezahlt
INV-2025-10075;2025-01-27;2025-01-25;Huber GmbH;1482.32;1602.39;3084.71;offen
INV-2025-10076;2025-01-07;2025-01-05;Müller AG;933.94;1009.59;1943.53;offen
INV-2025-10077;2025-01-23;2025-01-21;coop AG;3998.57;4322.45;8321.02;bezahlt
INV-2025-10078;2025-01-03;2025-01-01;Weber AG;4785.57;5173.2;9958.77;bezahlt
INV-2025-10079;2025-01-23;2025-01-21;coop AG;2719.52;2939.8;5659.32;offen
INV-2025-10080;2025-01-22;2025-01-20;Keller AG;1044.94;1129.58;2174.52;bezahlt
INV-2025-10081;2025-01-04;2025-01-02;Weber AG;4627.04;5001.83;9628.87;überfällig
INV-2025-10082;2025-01-02;2024-12-31;Müller AG;845.56;914.05;1759.61;offen
INV-2025-10083;2025-01-21;2025-01-19;Müller AG;2345.94;2535.96;4881.9;bezahlt
INV-2025-10084;2025-01-30;2025-01-28;Weber AG;2575.33;2783.93;5359.26;überfällig
INV-2025-10085;2025-01-30;2025-01-28;Huber GmbH;1304.39;1410.05;2714.44;bezahlt
INV-2025-10086;2025-01-09;2025-01-07;Payfix GmbH,Wallee AG;4749.79;5134.52;9884.31;bezahlt
INV-2025-10087;2025-01-05;2025-01-03;coop AG;273.52;295.68;569.2;offen
INV-2025-10088;2025-01-22;2025-01-20;Weber AG;1091.13;1179.51;2270.64;überfällig
INV-2025-10089;2025-01-03;2025-01-01;Huber GmbH;4067.72;4397.21;8464.93;offen
INV-2025-10090;2025-01-27;2025-01-25;Schmid AG;1814.33;1961.29;3775.62;bezahlt
INV-2025-10091;2025-01-04;2025-01-02;Migros AG;1185.5;1281.53;2467.03;bezahlt
INV-2025-10092;2025-01-14;2025-01-12;Weber AG;3137.66;3391.81;6529.47;bezahlt
INV-2025-10093;2025-01-31;2025-01-29;Schmid AG;3930.2;4248.55;8178.75;offen
