Rechnung Nr;Rechnung Datum;Auftrag Datum;Kunde;Total ohne MwSt;MwSt 8.1%;Endtotal;Status
INV-2023-10001;2023-01-29;2023-01-27;Meier GmbH;2473.87;2674.25;5148.12;überfällig
INV-2023-10002;2023-01-17;2023-01-15;Müller AG;3123.23;3376.21;6499.44;offen
INV-2023-10003;2023-01-06;2023-01-04;Meier GmbH;4492.56;4856.46;9349.02;überfällig
INV-2023-10004;2023-01-09;2023-01-07;Müller AG;1712.22;1850.91;3563.13;bezahlt
INV-2023-10005;2023-01-11;2023-01-09;Payfix GmbH,Wallee AG;1934.9;2091.63;4026.53;überfällig
INV-2023-10006;2023-01-07;2023-01-05;Weber AG;1980.37;2140.78;4121.15;bezahlt
INV-2023-10007;2023-01-21;2023-01-19;Meier GmbH;228.91;247.45;476.36;überfällig
INV-2023-10008;2023-01-12;2023-01-10;coop AG;1215.31;1313.75;2529.06;bezahlt
INV-2023-10009;2023-01-04;2023-01-02;Meier GmbH;4068.53;4398.08;8466.61;offen
INV-2023-10010;2023-01-28;2023-01-26;City Kiosk Bern;2685.43;2902.95;5588.38;bezahlt
INV-2023-10011;2023-01-14;2023-01-12;Meier GmbH;2587.7;2797.3;5385.0;überfällig
INV-2023-10012;2023-01-07;2023-01-05;Weber AG;205.93;222.61;428.54;offen
INV-2023-10013;2023-01-25;2023-01-23;Payfix GmbH,Wallee AG;4429.58;4788.38;9217.96;offen
INV-2023-10014;2023-01-12;2023-01-10;City Kiosk Bern;4378.06;4732.68;9110.74;offen
INV-2023-10015;2023-01-03;2023-01-01;coop AG;3554.47;3842.38;7396.85;offen
INV-2023-10016;2023-01-27;2023-01-25;City Kiosk Bern;1259.16;1361.15;2620.31;überfällig
INV-2023-10017;2023-01-06;2023-01-04;City Kiosk Bern;409.65;442.83;852.48;überfällig
INV-2023-10018;2023-01-02;2022-12-31;Weber AG;2563.58;2771.23;5334.81;überfällig
INV-2023-10019;2023-01-07;2023-01-05;Keller AG;4181.58;4520.29;8701.87;offen
INV-2023-10020;2023-01-22;2023-01-20;coop AG;3023.84;3268.77;6292.61;überfällig
INV-2023-10021;2023-01-16;2023-01-14;Huber GmbH;1710.56;1849.12;3559.68;bezahlt
INV-2023-10022;2023-01-14;2023-01-12;City Kiosk Bern;2379.73;2572.49;4952.22;offen
INV-2023-10023;2023-01-16;2023-01-14;Migros AG;4382.13;4737.08;9119.21;bezahlt
INV-2023-10024;2023-01-12;2023-01-10;City Kiosk Bern;1819.32;1966.68;3786.0;bezahlt
INV-2023-10025;2023-01-08;2023-01-06;coop AG;3789.37;4096.31;7885.68;bezahlt
INV-2023-10026;2023-01-20;2023-01-18;coop AG;2180.62;2357.25;4537.87;offen
INV-2023-10027;2023-01-17;2023-01-15;Keller AG;4866.7;5260.9;10127.6;bezahlt
INV-2023-10028;2023-01-03;2023-01-01;Payfix GmbH,Wallee AG;1977.21;2137.36;4114.57;bezahlt
INV-2023-10029;2023-01-21;2023-01-19;Meier GmbH;3355.24;3627.01;6982.25;bezahlt
INV-2023-10030;2023-01-31;2023-01-29;Müller AG;3868.58;4181.93;8050.51;bezahlt
INV-2023-10031;2023-01-21;2023-01-19;coop AG;3102.93;3354.27;6457.2;offen
INV-2023-10032;2023-01-22;2023-01-20;Huber GmbH;1291.46;1396.07;2687.53;offen
INV-2023-10033;2023-01-17;2023-01-15;City Kiosk Bern;3794.57;4101.93;7896.5;bezahlt
INV-2023-10034;2023-01-06;2023-01-04;Weber AG;3300.34;3567.67;6868.01;bezahlt
INV-2023-10035;2023-01-23;2023-01-21;Weber AG;3936.49;4255.35;8191.84;bezahlt
INV-2023-10036;2023-01-20;2023-01-18;coop AG;4682.01;5061.25;9743.26;offen
INV-2023-10037;2023-01-15;2023-01-13;Payfix GmbH,Wallee AG;663.49;717.23;1380.72;bezahlt
